Iteration,Character,Prev_Position,New_Position,Steps,Result
0,Heroe,7,15,1,0
0,Bruja,0,2,2,0
0,Heroe,15,15,0,0
0,Bruja,2,3,1,0
0,Heroe,41,40,3,0
0,Bruja,3,4,1,0
0,Heroe,40,40,0,0
0,Bruja,4,5,1,0
0,Heroe,40,40,0,0
0,Bruja,5,6,1,0
0,Heroe,40,41,1,0
0,Bruja,6,7,1,0
0,Heroe,41,40,1,0
0,Bruja,7,15,1,0
0,Heroe,40,38,1,0
0,Bruja,15,15,0,0
0,Heroe,40,31,2,0
0,Bruja,15,15,0,0
0,Heroe,41,22,3,0
0,Bruja,15,22,1,0
0,Heroe,22,22,0,0
0,Bruja,22,29,1,0
0,Heroe,22,22,0,0
0,Bruja,29,30,1,0
0,Heroe,41,40,2,0
0,Bruja,30,32,1,0
0,BRUJA,32,32,0,1
